year,month,element,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
1892,12,SNOW,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,13,NA,NA,38,NA,NA,NA,NA,NA,NA
1893,12,SNOW,NA,NA,203,NA,NA,NA,13,5,NA,NA,51,NA,NA,38,NA,NA,25,46,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
1894,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1895,12,SNOW,0,NA,NA,0,NA,NA,8,0,NA,51,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,0,NA,NA,152,0
1896,12,SNOW,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,13,NA,NA,0,NA,127,0,NA,0,NA,NA,NA,NA,NA,NA
1897,12,SNOW,23,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,71,0,0,0,20,0,0,0,0,0,0,0,25,0,0
1898,12,SNOW,0,0,0,0,127,38,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,12,SNOW,0,0,0,0,13,0,0,0,0,0,0,0,0,43,64,0,0,0,0,0,0,0,0,5,13,0,0,3,0,0,0
1900,12,SNOW,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,25
1901,12,SNOW,0,0,0,0,0,0,0,0,64,0,13,0,0,51,0,0,0,0,0,0,0,0,0,38,69,0,0,0,0,0,0
1902,12,SNOW,0,0,0,0,0,15,53,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,0,0,0,0,0,0
1903,12,SNOW,10,0,0,3,0,0,0,0,0,15,3,157,10,0,3,0,0,0,0,25,0,0,0,0,23,0,0,0,10,5,0
1904,12,SNOW,0,46,0,0,0,0,0,0,3,0,30,89,0,0,0,0,3,0,3,8,0,0,3,0,0,0,0,25,0,0,0
1905,12,SNOW,0,51,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,5,0,0,0,5,0,0
1906,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,81,0,0,0,0,0,0,0,0,0,0
1907,12,SNOW,0,0,15,0,0,0,0,0,0,38,0,0,0,51,25,0,0,56,0,0,0,0,56,0,15,0,0,0,0,0,0
1908,12,SNOW,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,5,0,0,0,0,13,0
1909,12,SNOW,0,0,0,0,0,76,0,0,13,13,0,38,0,13,13,8,3,0,0,0,0,5,0,5,140,0,0,38,0,0,0
1910,12,SNOW,0,0,13,0,0,0,38,13,0,102,25,0,0,0,0,0,0,8,69,8,0,0,157,0,10,30,0,53,51,0,0
1911,12,SNOW,5,0,51,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,3,25,3,0,25,0
1912,12,SNOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,5,0,0,0,0,0,5,0,5,5,0
1913,12,SNOW,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
